flasher_modes,flasher_cmds,move_modes,pos_cmd_0s,pos_cmd_1s
notimplemented,notimplemented,move,0.0570684111157295,0.045979860619298554
notimplemented,notimplemented,move,0.056254435117065946,0.046464197946465155
notimplemented,notimplemented,move,0.055456154639906774,0.04697398991646247
notimplemented,notimplemented,move,0.05467436542759234,0.04750872835756802
notimplemented,notimplemented,move,0.05390984678461157,0.04806788023087441
notimplemented,notimplemented,move,0.05316336079977424,0.0486508881616341
notimplemented,notimplemented,move,0.052435651586544396,0.04925717099486263
notimplemented,notimplemented,move,0.05172744454129173,0.04988612437464662
notimplemented,notimplemented,move,0.05103944562020081,0.05053712134657885
notimplemented,notimplemented,move,0.05037234063555851,0.051209512982720036
notimplemented,notimplemented,move,0.0497267945721215,0.05190262902846435
notimplemented,notimplemented,move,0.04910345092424495,0.05261577857066369
notimplemented,notimplemented,move,0.04850293105443328,0.05334825072634514
notimplemented,notimplemented,move,0.04792583357395265,0.054099315351334325
notimplemented,notimplemented,move,0.04737273374612212,0.05486822376807915
notimplemented,notimplemented,move,0.046844182912878674,0.05565420951194788
notimplemented,notimplemented,move,0.046340707945187645,0.05645648909525766
notimplemented,notimplemented,move,0.04586281071784621,0.05727426278827218
notimplemented,notimplemented,move,0.04541096760920373,0.05810671541638957
notimplemented,notimplemented,move,0.04498562902629745,0.0589530171727262
notimplemented,notimplemented,move,0.04458721895587689,0.05981232444528633
notimplemented,notimplemented,move,0.04421613454176476,0.060683780657892705
notimplemented,notimplemented,move,0.04387274568897524,0.06156651712404052
notimplemented,notimplemented,move,0.04355739469498471,0.062459653912822856
notimplemented,notimplemented,move,0.04327039590852211,0.063362300726065
notimplemented,notimplemented,move,0.04301203541621934,0.0642735577857931
notimplemented,notimplemented,move,0.042782570757433865,0.06519251673115228
notimplemented,notimplemented,move,0.04258223066752787,0.06611826152388066
notimplemented,notimplemented,move,0.042411214849859914,0.06704986936143603
notimplemented,notimplemented,move,0.04226969377671623,0.06798641159686562
notimplemented,notimplemented,move,0.04215780851938028,0.0689269546645016
notimplemented,notimplemented,move,0.04207567060750983,0.06987056101055951
notimplemented,notimplemented,move,0.04202336191796173,0.07081629002771242
notimplemented,notimplemented,move,0.042000934593175304,0.07176319899270858
notimplemented,notimplemented,move,0.04200841098919566,0.07271034400609871
notimplemented,notimplemented,move,0.04204578365338863,0.07365678093313524
notimplemented,notimplemented,move,0.04211301533186979,0.07460156634490651
notimplemented,notimplemented,move,0.04221003900663991,0.07554375845876724
notimplemented,notimplemented,move,0.04233675796238992,0.07648241807712781
notimplemented,notimplemented,move,0.04249304588290889,0.07741660952366705
notimplemented,notimplemented,move,0.04267874697699878,0.07834540157603458
